,inicio,varinicio,varfim,PT_V,id,int,real,lit,leia,escreva,literal,num,rcb,opm,se,AB_P,FC_P,entao,opr,fimse,fim,EOF,P',P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,EXP_R,CORPO
16,ERRO,ERRO7,S18,ERRO,S20,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,17,16,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
17,ERRO,ERRO7,ERRO,ERRO,R4,ERRO,ERRO,ERRO,R4,R4,ERRO,ERRO,ERRO,ERRO,R4,ERRO,ERRO6,ERRO,ERRO,ERRO,R4,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
18,ERRO8,ERRO8,ERRO8,S19,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8
19,ERRO,ERRO7,ERRO,ERRO,R5,ERRO,ERRO,ERRO,R5,R5,ERRO,ERRO,ERRO,ERRO,R5,ERRO,ERRO6,ERRO,ERRO,ERRO,R5,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
20,ERRO,ERRO7,ERRO,ERRO,ERRO,S22,S23,S24,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,21,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
21,ERRO8,ERRO8,ERRO8,S25,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8
22,ERRO,ERRO7,ERRO,R7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
23,ERRO,ERRO7,ERRO,R8,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
24,ERRO,ERRO7,ERRO,R9,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
25,ERRO,ERRO7,R6,ERRO,R6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
26,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,R10,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
27,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,R16,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
28,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,R22,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
29,ERRO8,ERRO8,ERRO8,S30,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8
30,ERRO,ERRO7,ERRO,ERRO,R11,ERRO,ERRO,ERRO,R11,R11,ERRO,ERRO,ERRO,ERRO,R11,ERRO,ERRO6,ERRO,ERRO,R11,R11,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
31,ERRO8,ERRO8,ERRO8,S32,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8
32,ERRO,ERRO7,ERRO,ERRO,R12,ERRO,ERRO,ERRO,R12,R12,ERRO,ERRO,ERRO,ERRO,R12,ERRO,ERRO6,ERRO,ERRO,R12,R12,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
33,ERRO,ERRO7,ERRO,R13,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
34,ERRO,ERRO7,ERRO,R14,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
